Id;Designator;Behuizing;Hoeveelheid;Orientatie;Leverancier en ref
1;U.FL2,U.FL1;UFLRSMT10;2;U.FL-R-SMT_10_;
2;R5;RESC0603X26N;1;CR0201AFW-1001GLF;
3;FL1;BEADC1005X55N;1;MMZ1005S121HTD25;
4;47uF2,47uF1;CAPC2012X152N;2;0805ZD476MAT2A;
5;4.7uF4,4.7uF3;CAPC0603X55N;2;GRM035R60J475ME15D;
6;15pF2,15pF1;CAPC0603X33N;2;8,85E+11;
7;100nF4,100nF3,100nF2,100nF1;CAPC0603X33N;4;GRM033R60J104KE19J;
8;0,1uF1,0,1uF2;CAPC0603X33N;2;02016D104KAT2A;
9;10KOhm1;RESC0603X26N;1;ERA-1AEB103C;
10;1uF1,1uF2,1uF3,1uF4,1uF5;CAPC0603X33N;5;GRM033C80J105ME05D;
11;220uF1,220uF2;CAPC3216X190N;2;GRM31CR60J227ME11L;
12;5.0V1;SON65P200X200X80-7N;1;LP5912-5.0DRVR;
14;IC1;TCR5RG18ALF;1;TCR5RG18A,LF;
15;NANOSIM1;SF72S006VBAR2500;1;SF72S006VBDR2500;
16;NRF91;XCVR_NRF9160-SICA-R;1;NRF9160-SICA-B1A-R;
17;SIMESDPROTECT1;CM140203CP;1;CM1402-03CP;
18;TXB102;BGA8C50P2X4_89X189X50;1;TXB0102YZPR;
